,end_date,variable,value,smooth,noise,ci_top,ci_bot
27,2020-08-09,sm_r,52.0,55.87499999999999,-3.874999999999993,61.360488945400114,50.38951105459987
26,2020-08-29,sm_r,57.99999999999999,56.83035714285714,1.169642857142854,62.31584608825726,51.34486819745702
25,2020-09-19,sm_r,59.0,57.99107142857142,1.0089285714285765,63.476560373971544,52.5055824831713
24,2020-10-10,sm_r,56.99999999999999,57.86607142857142,-0.8660714285714306,63.351560373971544,52.3805824831713
23,2020-11-06,sm_r,57.99999999999999,57.99107142857142,0.008928571428569398,63.476560373971544,52.5055824831713
22,2020-11-28,sm_r,60.0,56.89285714285714,3.107142857142861,62.37834608825726,51.40736819745702
21,2020-12-01,sm_r,50.0,54.776785714285715,-4.776785714285715,60.262274659685836,49.291296768885594
20,2021-01-30,sm_r,56.99999999999999,56.348214285714285,0.6517857142857082,61.833703231114406,50.862725340314164
19,2021-02-20,sm_r,61.0,58.11607142857142,2.8839285714285765,63.601560373971544,52.6305824831713
18,2021-03-13,sm_r,56.00000000000001,56.13392857142857,-0.1339285714285623,61.61941751682869,50.64843962602845
16,2021-03-27,sm_r,52.0,53.107142857142854,-1.107142857142854,58.592631802542975,47.62165391174273
17,2021-03-30,sm_r,52.0,50.75892857142857,1.2410714285714306,56.24441751682869,45.27343962602845
15,2021-04-12,sm_r,47.0,48.70535714285714,-1.7053571428571388,54.19084608825726,43.21986819745702
14,2021-04-16,sm_r,47.0,49.63392857142858,-2.6339285714285765,55.1194175168287,44.148439626028456
13,2021-04-24,sm_r,56.00000000000001,52.98214285714286,3.017857142857146,58.46763180254298,47.49665391174274
12,2021-05-15,sm_r,55.00000000000001,53.19642857142858,1.8035714285714306,58.6819175168287,47.710939626028456
11,2021-05-16,sm_r,48.0,51.17857142857143,-3.1785714285714306,56.66406037397155,45.69308248317131
10,2021-06-05,sm_r,53.0,50.410714285714285,2.5892857142857153,55.896203231114406,44.925225340314164
9,2021-06-08,sm_r,48.0,48.97321428571429,-0.9732142857142918,54.45870323111441,43.48772534031417
8,2021-06-13,sm_r,46.0,48.901785714285715,-2.9017857142857153,54.387274659685836,43.416296768885594
7,2021-06-26,sm_r,55.00000000000001,50.26785714285714,4.732142857142868,55.75334608825726,44.78236819745702
6,2021-07-06,sm_r,46.0,49.33928571428572,-3.3392857142857224,54.82477465968584,43.8537967688856
5,2021-07-17,sm_r,51.0,48.419642857142854,2.580357142857146,53.905131802542975,42.93415391174273
4,2021-07-17,sm_r,45.0,47.625,-2.625,53.11048894540012,42.13951105459988
3,2021-08-07,sm_r,49.0,48.27678571428571,0.7232142857142918,53.76227465968583,42.79129676888559
2,2021-08-28,sm_r,50.0,48.75,1.25,54.23548894540012,43.26451105459988
1,2021-09-18,sm_r,47.0,47.824074074074076,-0.8240740740740762,53.3095630194742,42.338585128673955
0,2021-10-02,sm_r,47.0,47.14814814814815,-0.14814814814815236,52.63363709354827,41.66265920274803
