,date,name,value
268,2021-07-28,Cumberland (A),32
269,2021-07-28,Fairfield (C),47
270,2021-07-28,Georges River (A),3
271,2021-07-28,Liverpool (C),35
272,2021-07-28,Parramatta (C),8
273,2021-07-29,Blacktown (C),13
274,2021-07-29,Campbelltown (C) (NSW),17
275,2021-07-29,Canterbury-Bankstown (A),43
276,2021-07-29,Cumberland (A),23
277,2021-07-29,Fairfield (C),21
278,2021-07-29,Georges River (A),7
279,2021-07-29,Liverpool (C),25
280,2021-07-29,Parramatta (C),5
281,2021-07-30,Blacktown (C),14
282,2021-07-30,Campbelltown (C) (NSW),8
283,2021-07-30,Canterbury-Bankstown (A),49
284,2021-07-30,Cumberland (A),36
285,2021-07-30,Fairfield (C),22
286,2021-07-30,Georges River (A),5
287,2021-07-30,Liverpool (C),21
288,2021-07-30,Parramatta (C),11
289,2021-07-31,Blacktown (C),24
290,2021-07-31,Campbelltown (C) (NSW),14
291,2021-07-31,Canterbury-Bankstown (A),82
292,2021-07-31,Cumberland (A),26
293,2021-07-31,Fairfield (C),42
294,2021-07-31,Georges River (A),3
295,2021-07-31,Liverpool (C),20
296,2021-07-31,Parramatta (C),3
297,2021-08-01,Blacktown (C),16
298,2021-08-01,Campbelltown (C) (NSW),20
299,2021-08-01,Canterbury-Bankstown (A),48
300,2021-08-01,Cumberland (A),27
301,2021-08-01,Fairfield (C),15
302,2021-08-01,Georges River (A),9
303,2021-08-01,Liverpool (C),22
304,2021-08-01,Parramatta (C),8
305,2021-08-02,Blacktown (C),11
306,2021-08-02,Campbelltown (C) (NSW),11
307,2021-08-02,Canterbury-Bankstown (A),64
308,2021-08-02,Cumberland (A),41
309,2021-08-02,Fairfield (C),12
310,2021-08-02,Georges River (A),2
311,2021-08-02,Liverpool (C),17
312,2021-08-02,Parramatta (C),5
313,2021-08-03,Blacktown (C),18
314,2021-08-03,Campbelltown (C) (NSW),15
315,2021-08-03,Canterbury-Bankstown (A),79
316,2021-08-03,Cumberland (A),42
317,2021-08-03,Fairfield (C),16
318,2021-08-03,Georges River (A),3
319,2021-08-03,Liverpool (C),11
320,2021-08-03,Parramatta (C),15
321,2021-08-04,Blacktown (C),19
322,2021-08-04,Campbelltown (C) (NSW),10
323,2021-08-04,Canterbury-Bankstown (A),48
324,2021-08-04,Cumberland (A),44
325,2021-08-04,Fairfield (C),25
326,2021-08-04,Georges River (A),4
327,2021-08-04,Liverpool (C),26
328,2021-08-04,Parramatta (C),13
329,2021-08-05,Blacktown (C),30
